# 【存疑 / 已否决】这条序列在本模型语义下逐步可行，t=173 达到 2745990 矿物，
# 但官方样例 m=2745943 -> 1740 蕴含 2F[173] <= 2745942。官方样例是基准真值，
# 因此这条轨迹一定有问题——但四轮独立验证（三套模拟器 + 守恒恒等式）都没能定位到错误。
# 保留在此仅作记录，其数值【不】用于任何表项。详见 doc/findings.md 第四节。
# 每行 k p q = 本步 (基地造工人数, 建补给站数, 建基地数); 时间单位 10 秒
T=173 minerals=2745990
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 1 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 0
1 0 1
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
1 0 0
0 0 0
1 0 0
0 0 0
1 0 0
0 0 1
2 0 0
0 0 0
2 0 0
0 0 1
2 0 0
1 0 0
2 0 0
1 0 0
2 0 1
1 0 0
2 0 0
2 0 0
2 0 1
2 0 0
2 0 1
3 0 0
2 0 0
3 0 1
2 0 0
3 0 1
3 0 0
3 0 1
3 0 0
3 0 1
4 0 1
3 0 0
5 0 1
3 0 1
5 0 1
3 0 1
6 0 0
4 0 1
6 0 1
5 0 1
6 0 1
6 0 2
7 0 1
6 0 1
8 0 1
7 0 2
9 0 1
8 0 2
9 0 1
9 0 2
10 0 2
10 0 2
11 0 2
12 0 2
12 0 2
13 0 2
13 0 3
15 0 2
14 0 3
17 0 3
15 0 3
19 0 3
17 0 3
21 0 4
19 1 3
23 0 4
21 0 4
25 0 5
24 0 4
27 0 5
27 0 5
30 0 5
30 1 6
33 0 6
33 0 6
37 0 7
36 0 7
41 0 7
40 0 8
46 0 8
44 1 8
51 0 9
49 0 10
56 0 9
55 0 11
62 0 10
61 0 12
69 0 12
68 0 14
76 0 13
76 1 14
84 0 15
84 0 16
93 1 16
94 0 18
102 0 18
105 0 19
112 0 21
117 0 21
124 1 23
131 0 24
137 0 25
145 1 26
152 1 28
161 0 29
168 1 31
179 1 32
186 0 34
198 0 36
207 0 38
219 1 40
230 1 42
243 0 44
255 1 47
269 1 49
283 1 52
298 1 54
314 1 0
330 0 0
348 1 0
366 1 0
386 1 0
406 1 0
428 1 0
450 220 0
475 232 0
499 243 0
527 38 0
553 0 0
527 0 0
553 0 0
527 0 0
553 0 0
527 0 0
553 0 0
527 0 0
553 79 0
527 0 0
553 0 0
527 0 0
552 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
